Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number,,,,,,,,
BOOT_BUTTON,72.2,121.63,180,BUTTON_CUSYOMV1,MYBUTTON,,,,,,,,,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
C1,194.44,21.38,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,https://componentsearchengine.com/part-view/CC0402MRX5R5BB106/YAGEO
C10,108.59,121.36,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C10_SUPERCAP,143.54,66.66,270,CPH3225A,CAPCP3225X100N,,,,,,,,,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda
C1_BAT,172.22,68.98,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C1_BAT1,170.23,56.76,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C1_BAT2,129.62,31.62,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C2,192.67,21.24,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C2_BAT,167.04,61.16,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C3,179.2,59.59,90,100uF,RCL_CT3528,,,,,,,,,https://a360.co/4iZy6AA
C4,112.53,36.03,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C4_USB,197.11,61.04,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C5,100.78,121.43,90,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C5_USB,204.75,61.57,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C6,111.77,27.25,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C7,122.82,35.92,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C8,138.37,61.74,180,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
C9,55.93,113.9,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
CHANGE_BUTTON,112.23,121.63,180,BUTTON_CUSYOMV1,MYBUTTON,,,,,,,,,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
C_DELAY,167.87,70.89,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
D1,201,61.35,0,USBLC6-2SC6Y,SOT95P280X145-6N,,,,,,,,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda
D10,83.75,61.45,270,PGB1010603MR,DIOC1608X36N,,,,,,,,,
D11,124.25,32.87,0,PGB1010603MR,DIOC1608X36N,,,,,,,,,
D12,138.63,78.37,0,PGB1010603MR,DIOC1608X36N,,,,,,,,,
D2,63.04,112.99,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,,,,,,,,,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D3,133.24,55.79,180,MBR0530,SOD3716X135N,,,,,,,,,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D4,141.96,36.83,0,MBR0530,SOD3716X135N,,,,,,,,,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda
D5,142.04,41.34,0,MBR0530,SOD3716X135N,,,,,,,,,
D6,103.69,51.42,90,PGB1010603MR,DIOC1608X36N,,,,,,,,,
D7,109.19,27.04,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,,,,,,,,,
D8,101.61,51.42,90,PGB1010603MR,DIOC1608X36N,,,,,,,,,
D9,97.65,51.35,90,PGB1010603MR,DIOC1608X36N,,,,,,,,,
EPD_C1,126.75,31.71,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C10,145.68,42.89,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C11,138.63,76.86,180,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C12,182.66,59.7,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C2,128.35,31.77,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C5,132.48,31.7,90,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C6,135.73,31.72,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C7,134.66,31.7,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C8,136.88,31.68,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
EPD_C9,138,31.69,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
GHC_LED,172.19,70.88,270,,ADAFRUIT_CHIP-LED0603,,,,,,,,,https://www.snapeda.com/parts/KP-1608SURCK/Kingbright/view-part/?ref=search&t=LED%200603
IC1,174.12,60.79,0,BD5229G-TR,SOT95P280X125-5N,,,,,,,,,https://componentsearchengine.com/part-view/BD5229G-TR/ROHM%20Semiconductor
IC4,96.97,114.26,0,XC6220A331MR-G,SOT95P280X120-5N,,,,,,,,,
J1,132.65,27.39,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,,,,,,,,,https://componentsearchengine.com/part-view/USB4110-GF-A/GCT%20(GLOBAL%20CONNECTOR%20TECHNOLOGY)
J2,214.12,68.28,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,,,,,,,,,
J3,214.53,33.37,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,,,,,,,,,
J4,57.56,103.55,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,,,,,,,,,
L1,132.82,41.23,270,68uF,IND_4828-WE-TPC_WRE,,,,,,,,,
MCP73831,177.31,69.89,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,,,,,,,,,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP73831T-5ACI-OT?qs=hH%252BOa0VZEiAcgAcEkuamXg%3D%3D
PFMF.050.1,200.14,54.73,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,,,,,,,,,
Q1,184.77,66.14,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,,,,,,,,,
Q2,125.61,36.07,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,,,,,,,,,
